"company_name_ja","company_name_en","description","description_en","hiring_url","num_of_employees","sales","foreign_engineers","logo_url","company_url"
"SmartNews","SmartNews","日米で5000万ダウンロード超のニュースアプリ「SmartNews」を運営。大規模自然言語処理と広告技術（RTBシステム）に強み。2024年7月に国内ニュースアプリ初の生成AI要約機能「スマニューAIまとめ」を提供開始。全国紙・民放キー局など53メディアと提携しAIが複数記事を個別要約。有料サービス「SmartNews+」でもAI要約を提供。","Operates news app ""SmartNews"" with over 50 million downloads in Japan and the US. Strong in large-scale NLP and advertising technology (RTB systems). In July 2024, launched Japan's first generative AI summary feature for news apps called ""SmaNews AI Summary."" Partners with 53 media outlets including national newspapers and major TV networks, with AI individually summarizing multiple articles. Also provides AI summarization in premium service ""SmartNews+.""","https://apply.workable.com/smartnews/","500+","-1","TRUE","https://logo.clearbit.com/smartnews.com","https://about.smartnews.com/"
"Playco","Playco","世界初のインスタントプレイゲーム会社。アプリDL不要でFacebook・Snapchat・TikTok等のプラットフォーム上で遊べるゲームを開発。WebSocket開発者Michael Carter氏（CEO）・Zynga共同設立者Justin Waldron氏・元DeNA大塚剛司氏らが創業。セコイアキャピタル等から約100億円を調達し評価額1000億円のユニコーンに。東京・シリコンバレー・ソウルでグローバル展開。","World's first instant play gaming company. Develops games playable on platforms like Facebook, Snapchat, and TikTok without app downloads. Founded by WebSocket developer Michael Carter (CEO), Zynga co-founder Justin Waldron, and former DeNA executive Takeshi Otsuka. Raised approximately 10 billion yen from Sequoia Capital and others, reaching unicorn status with 100 billion yen valuation. Global presence in Tokyo, Silicon Valley, and Seoul.","https://www.play.co/career","100+","-1","TRUE","https://logo.clearbit.com/play.co","https://www.play.co/"
"TBM","TBM","石灰石を主原料とする環境配慮型新素材「LIMEX」を開発。プラスチック・紙の代替として10000以上の企業・自治体が採用。推計企業価値1218億円の日本発ユニコーンで累計400億円超を資金調達。2024年にはCO2を回収して生成する炭酸カルシウムを使う「CR LIMEX」のプロトタイプ開発に成功。WorldStar Global Packaging Awards 2025受賞。グローバル展開と自動車内装等の高付加価値用途へ拡大中。","Developed environmentally-friendly new material ""LIMEX"" using limestone as main ingredient. Adopted by over 10,000 companies and municipalities as plastic and paper alternative. Japan-born unicorn with estimated enterprise value of 121.8 billion yen, raising over 40 billion yen cumulatively. Successfully developed ""CR LIMEX"" prototype using calcium carbonate generated from captured CO2 in 2024. Won WorldStar Global Packaging Awards 2025. Expanding globally and into high-value applications like automotive interiors.","https://tb-m.com/recruit/","300+","-1","FALSE","https://logo.clearbit.com/tb-m.com","https://tb-m.com/"
"Sansan","Sansan","名刺管理サービス11年連続シェアNo.1の営業DXサービスと請求書受領・発行・経費精算を一元化するインボイス管理サービス「Bill One」を展開。契約件数9000社超でARR200億円を突破。2024年にはタイ法人化など東南アジア展開を加速し63カ国でサービスを提供。名刺アプリ「Eight」や契約データベース「Contract One」も国内外で展開しアナログ情報をデータ化し企業のDXを推進。","Offers sales DX service with #1 business card management market share for 11 consecutive years, and invoice management service ""Bill One"" unifying invoice receipt, issuance, and expense settlement. Over 9,000 contracted companies with ARR exceeding 20 billion yen. Accelerated Southeast Asian expansion including Thailand incorporation in 2024, providing services in 63 countries. Also deploys business card app ""Eight"" and contract database ""Contract One"" domestically and internationally, digitizing analog information to drive corporate DX.","https://jp.corp-sansan.com/recruit/","1400+","30000000000","TRUE","https://logo.clearbit.com/sansan.com","https://jp.corp-sansan.com/"
"Money Forward","Money Forward","2300以上の金融サービスと連携するクラウド会計・経費精算・給与計算・勤怠管理など12のバックオフィスSaaSを提供。個人向け家計簿アプリ「マネーフォワード ME」も運営。AIによる自動仕訳機能を搭載し全国44000超の士業事務所が利用。Go言語やグローバル開発体制で技術力も高くFintech領域にも積極展開。2024年には複数のM&Aで事業領域を拡大。","Provides 12 back-office SaaS products including cloud accounting, expense management, payroll, and attendance management, connecting with over 2,300 financial services. Also operates personal budgeting app ""Money Forward ME."" Features AI-powered automatic journal entry used by over 44,000 professional firms nationwide. Strong technical capabilities with Go language and global development structure, actively expanding in Fintech. Expanded business domains through multiple M&As in 2024.","https://corp.moneyforward.com/recruit/","2000+","30000000000","TRUE","https://logo.clearbit.com/moneyforward.com","https://corp.moneyforward.com/"
"freee","freee","「スモールビジネスを世界の主役に。」をミッションに掲げ会計・人事労務・販売・申告など統合型経営プラットフォームを提供。ヒト・モノ・カネを網羅しあらゆる業務とデータを繋げて自動化と可視化を実現。2024年にはメニューバーデザイン共通化や事業計画機能を追加。アクセシビリティへのこだわりとUX/UIデザインに定評があり従業員1700名超の組織に成長。","Mission: ""Empower small businesses to become the heroes of the world."" Provides integrated business management platform covering accounting, HR, sales, and tax filing. Connects all operations and data across people, goods, and money to enable automation and visualization. Added unified menu bar design and business planning features in 2024. Renowned for commitment to accessibility and UX/UI design, grown to over 1,700 employees.","https://hire.wantedly.com/careers/freee/career_page_all_jobs?includeCasualVisits=false&jobFunctionId=116/","1200+","20000000000","TRUE","https://logo.clearbit.com/freee.co.jp","https://corp.freee.co.jp/"
"Cybozu","Cybozu","ノーコード業務アプリ開発基盤「kintone」を中核にグループウェア「サイボウズ Office」「Garoon」を提供。kintone導入企業は3万7000社超で東証プライム企業の3社に1社が採用。導入担当者の93%が非IT部門という市民開発を推進。2025年にはAIアシスタント機能を追加予定。働き方改革の先駆者として柔軟な人事制度を導入し多様な働き方を実現。","Provides no-code business app development platform ""kintone"" as core product along with groupware ""Cybozu Office"" and ""Garoon."" Over 37,000 companies use kintone, with 1 in 3 TSE Prime companies adopting it. Promotes citizen development with 93% of implementation managers being non-IT departments. Plans to add AI assistant features in 2025. Pioneer in work style reform, implementing flexible HR systems to enable diverse work arrangements.","https://cybozu.co.jp/recruit/","1000+","25000000000","FALSE","https://logo.clearbit.com/cybozu.co.jp","https://cybozu.co.jp/"
"Uzabase","Uzabase","AI技術を活用した経済情報プラットフォーム「SPEEDA」と日本最大級のソーシャル経済メディア「NewsPicks」を展開。2024年7月にSPEEDA・INITIAL・FORCASを「スピーダ」に統一。東京・上海・シンガポール・コロンボ・サンフランシスコ・NYに拠点を持ちグローバル展開。XP開発手法を実践するエンジニア文化で勤務時間の制約や出社義務がなく服装も自由。","Operates AI-powered economic information platform ""SPEEDA"" and Japan's largest social economic media ""NewsPicks."" Unified SPEEDA, INITIAL, and FORCAS into ""Speeda"" in July 2024. Global presence with offices in Tokyo, Shanghai, Singapore, Colombo, San Francisco, and NY. Engineering culture practicing XP development methodology with no restrictions on working hours, no office attendance requirements, and free dress code.","https://www.uzabase.com/jp/careers/","800+","12000000000","TRUE","https://logo.clearbit.com/uzabase.com","https://www.uzabase.com/"
"ラクス","Rakus","経費精算システム「楽楽精算」を中心に楽楽明細・楽楽勤怠・楽楽販売などバックオフィスSaaSを提供。楽楽精算は累計導入18000社超で経費精算クラウド市場シェアNo.1。2024年度売上高384億円（YoY+40%）と高成長を継続しSaaS企業として日本最大級の時価総額3300億円規模。2029年までにAI活用で経費精算作業時間60%削減を目指す開発ロードマップを発表。","Provides back-office SaaS centered on expense management system ""Rakurak Seisan"" along with Rakurak Meisai, Rakurak Kintai, and Rakurak Hanbai. Rakurak Seisan leads expense management cloud market with over 18,000 cumulative implementations. Sustained high growth with FY2024 revenue of 38.4 billion yen (YoY +40%), one of Japan's largest SaaS companies by market cap at 330 billion yen. Announced development roadmap targeting 60% reduction in expense processing time through AI by 2029.","https://www.rakus.co.jp/recruit/","2000+","30000000000","FALSE","https://logo.clearbit.com/rakus.co.jp","https://www.rakus.co.jp/"
"弁護士ドットコム","Bengoshi.com","電子契約サービス「クラウドサイン」を核にリーガルテック市場を牽引。有料契約企業30万社超・送信件数500万件超で電子署名法上の「電子署名」に該当することを国内初認定。弁護士ドットコム・税理士ドットコム・BUSINESS LAWYERSなど専門家ポータルも運営。2024年3月期売上高113億円で過去最高益を達成。AIを活用した契約書レビュー機能「クラウドサインレビュー」も展開。","Leading legal tech market with e-contract service ""CloudSign"" as core. Over 300,000 paid contract companies with over 5 million transmissions, first in Japan certified as ""electronic signature"" under the Electronic Signature Law. Also operates professional portals including Bengoshi.com, Zeirishi.com, and BUSINESS LAWYERS. Achieved record profits with FY2024 revenue of 11.3 billion yen. Also offers AI-powered contract review feature ""CloudSign Review.""","https://www.bengo4.com/corporate/recruit/","500+","10000000000","FALSE","https://logo.clearbit.com/bengo4.com","https://www.bengo4.com/corporate/"
"Nulab","Nulab","福岡発のコラボレーションツール企業。プロジェクト管理「Backlog」は有料ユーザー128万人超で「ITreview Grid Award 2024 Fall」最高位LEADER獲得。オンライン作図「Cacoo」や組織セキュリティ「Nulab Pass」も提供。フルリモート体制で約5割が福岡在住。Scalaコミュニティへの貢献やエンジニアフレンドリーシティ福岡への協賛など技術コミュニティ活動も活発。","Collaboration tools company from Fukuoka. Project management tool ""Backlog"" has over 1.28 million paid users and earned highest LEADER position in ""ITreview Grid Award 2024 Fall."" Also provides online diagramming ""Cacoo"" and organization security ""Nulab Pass."" Full remote structure with about 50% residing in Fukuoka. Active in tech community including Scala community contributions and sponsoring Engineer Friendly City Fukuoka.","https://nulab.com/ja/careers/","150+","3000000000","TRUE","https://logo.clearbit.com/nulab.com","https://nulab.com/"
"Kubell","Kubell (Chatwork)","2024年7月に社名をChatworkからkubellに変更。ビジネスチャット国内利用者数No.1の「Chatwork」は43万社664万ユーザーが利用。中期経営計画でBPaaS（Business Process as a Service）戦略を掲げ人の力とテクノロジーを組み合わせた業務プロセス代行サービスを展開。チャット経由で会計・労務・総務をアウトソースできる「Chatwork アシスタント」も提供。","Changed company name from Chatwork to kubell in July 2024. ""Chatwork,"" Japan's #1 business chat service, used by 430,000 companies and 6.64 million users. Medium-term plan promotes BPaaS (Business Process as a Service) strategy combining human power and technology for business process outsourcing services. Also offers ""Chatwork Assistant"" for outsourcing accounting, HR, and general affairs via chat.","https://kubell.com/recruit/","400+","6000000000","FALSE","https://logo.clearbit.com/kubell.com","https://kubell.com/"
"TeamSpirit","TeamSpirit","Salesforceプラットフォーム上で稼働する勤怠管理・工数管理・経費精算を統合したクラウドサービス。中小企業から1000名以上の大企業まで幅広い規模に対応。PC・モバイル・ICカード・QRコード・生体認証・GPS等多様な打刻方法を提供。テレワーク・シフト勤務・フレックスタイム制など多様な勤務形態に柔軟対応。AppExchange人気アプリランキング4回連続No.1。","Cloud service running on Salesforce platform integrating attendance management, work hour tracking, and expense settlement. Supports wide range of company sizes from SMEs to enterprises with 1,000+ employees. Offers diverse clock-in methods including PC, mobile, IC card, QR code, biometric, and GPS. Flexibly accommodates various work styles including remote work, shift work, and flextime. #1 in AppExchange popular apps ranking for 4 consecutive times.","https://www.teamspirit.com/recruit/","100+","4000000000","FALSE","https://logo.clearbit.com/teamspirit.com","https://www.teamspirit.com/"
"Yappli","Yappli","「デジタルを簡単に社会を便利に」をミッションにノーコードでアプリ開発・運用・分析を提供するプラットフォーム。850超のアプリ開発実績と累計2億ダウンロードを突破。導入企業700社超でアパレル・飲食・美術館・学校・自治体など幅広い業界で活用。完全ノーコード型で国内シェア37.1%と3年連続No.1。2024年度に営業黒字化を達成しCRM機能も拡充中。","Platform providing no-code app development, operation, and analytics with mission ""Making digital easy, making society convenient."" Over 850 app development projects with cumulative 200 million downloads. Used by over 700 companies across diverse industries including apparel, food service, museums, schools, and municipalities. Fully no-code with 37.1% domestic market share, #1 for 3 consecutive years. Achieved operating profitability in FY2024 while expanding CRM features.","https://yappli.co.jp/recruit/","200+","5000000000","FALSE","https://logo.clearbit.com/yappli.co.jp","https://yappli.co.jp/"
"Plaid","Plaid","「データによって人の価値を最大化する」をミッションにCXプラットフォーム「KARTE」を開発・運営。ウェブ・アプリユーザーの行動をリアルタイム解析し一人ひとりを可視化してパーソナライズされた体験を提供。2019年にGoogle出資を受け2020年に東証マザーズ上場。2024年にはグループ合計ARRが100億円を突破。CX特化メディア「XD」やカンファレンス「CX DIVE」も主催。","Develops and operates CX platform ""KARTE"" with mission ""Maximizing human value through data."" Analyzes web and app user behavior in real-time to visualize individuals and deliver personalized experiences. Received Google investment in 2019 and listed on TSE Mothers in 2020. Group total ARR exceeded 10 billion yen in 2024. Also hosts CX-focused media ""XD"" and conference ""CX DIVE.""","https://plaid.co.jp/recruit/","300+","8000000000","TRUE","https://logo.clearbit.com/plaid.co.jp","https://plaid.co.jp/"
"Repro","Repro","「世界で最も価値のあるマーケティングソリューションを実現する」をビジョンにWeb/アプリ向けカスタマーエンゲージメントプラットフォームを展開。世界66カ国7300サービス以上に導入。Repro Web（デジタル接客）・Repro App（プッシュ通知・アプリ内メッセージ）・Repro Booster（サイト表示速度改善）等を提供。SDKの実装のみで高度なセグメンテーション配信が可能。","Offers customer engagement platform for web/apps with vision ""Delivering the world's most valuable marketing solution."" Deployed in over 7,300 services across 66 countries. Provides Repro Web (digital customer service), Repro App (push notifications and in-app messaging), Repro Booster (site speed improvement), and more. Enables advanced segmented delivery with SDK implementation alone.","https://company.repro.io/recruit/","200+","-1","FALSE","https://logo.clearbit.com/repro.io","https://repro.io/"
"Feedforce","Feedforce","データフィード・構造化データ技術を駆使したマーケティング支援サービスを提供。「Shopify Partner of the Year 2024 Japan」でPlus App Developer of the Yearを受賞。データフィード管理「dfplus.io」・オムニチャネル顧客統合「Omni Hub」・受注出荷自動化「Shippinno」等のShopifyアプリを展開。デジタルマーケティングやCRM活用でEC事業成長を支援。","Provides marketing support services leveraging data feed and structured data technology. Won Plus App Developer of the Year at ""Shopify Partner of the Year 2024 Japan."" Offers Shopify apps including data feed management ""dfplus.io,"" omnichannel customer integration ""Omni Hub,"" and order/shipping automation ""Shippinno."" Supports e-commerce business growth through digital marketing and CRM utilization.","https://recruit.feedforce.jp/","100+","-1","FALSE","https://logo.clearbit.com/feedforce.jp","https://www.feedforce.jp/"
"Kaizen Platform","Kaizen Platform","800社以上の豊富なデータと知見に基づきDXプロジェクトの立ち上げから戦略立案までトータルサポート。UI/UX改善技術基盤「KAIZEN ENGINE」はタグ設置だけで高度な分析とパーソナライズを実現し次ページ遷移速度を約30%向上。2024年には生成AI活用の「KAIZEN AI-UX」をリリース。動画広告クリエイター育成講座「KAIZEN School」も運営。2020年に東証マザーズ上場。","Provides total support from DX project launch to strategy planning based on extensive data and insights from over 800 companies. UI/UX improvement technology platform ""KAIZEN ENGINE"" enables advanced analytics and personalization with just tag installation, improving page transition speed by approximately 30%. Released generative AI-powered ""KAIZEN AI-UX"" in 2024. Also operates video ad creator training program ""KAIZEN School."" Listed on TSE Mothers in 2020.","https://recruit.kaizenplatform.co.jp/","100+","3000000000","FALSE","https://logo.clearbit.com/kaizenplatform.com","https://kaizenplatform.com/"
